,conditioning,velmag,nflies_close,dcenter,Grooming,Chase,anglesub,Chain,Aggregation
1825,Rejected,-0.4170448974304934,0.5010004834718519,-0.2675561646489947,0.26454466230038565,-0.07362207650887413,0.6257889330761395,0.5489617580496132,0.49040772594663185
1611,Mated,0.7541286546259888,-0.2653694586960243,2.0512504136616396,-1.3311369733013496,-0.48334895217308443,-0.4149633722155215,-0.23375641294669036,-0.3736377348470451
1785,Rejected,-0.11994102531521891,-0.4131415962761623,0.8494763072216936,0.7935064174305716,0.01227724744338697,-0.4697764211115381,-0.4903088514381434,-0.3750247370936496
981,Grouped,-0.09701263032470189,-0.7573753681234792,0.8813445843844735,-0.3613030622771952,-0.5923167897695485,-0.867052452739369,-0.7312401996235051,-0.742866383286558
344,Grouped,-0.34733634803600083,-0.7395520849359705,0.3252927820486743,-0.016659410872426023,-0.29914134517647223,-0.7505706694638445,-0.7732385681946745,-0.3353197301803569
1945,Single,0.8275191964051443,1.0580704551284064,0.5433742805924471,-1.4271037348418014,1.0216192615405253,1.9436157973379369,1.4433794693015196,-0.8377971888774328
1677,Mated,-0.690991244690048,3.7435289487430605,-1.3363190324420127,0.9061506574303254,-0.2467039980715415,1.5872066340719144,4.144966933690354,1.787773889507469
1891,Rejected,2.883616018818828,1.7078129370327089,-0.6234832845423581,-2.0127442550831813,6.907312423711499,4.156430816481639,2.548605576611951,-0.8331597051947035
304,Grouped,-0.5669353265138664,-0.5328238665119599,0.7917574850741866,0.3913507308017358,-0.20141373470943422,-0.635830287624089,-0.7392036072580207,-0.22198117683915175
1962,Single,0.37310261776186704,-0.26495579342388653,1.0176871481598433,-1.074113590670564,-0.15055906856139464,-0.0501460827927452,-0.2763792138888092,-0.68869429500941
1751,Mated,2.049356475027105,0.7362789654554331,1.2580438823687272,-1.427434490895,2.179377827701829,1.6908201647122842,1.642886512846252,-0.5657419808652571
1243,Single,0.3427795702180286,-0.2573340087492547,0.27784186020603774,0.76001654732521,0.05197617327577558,-0.06957825133181442,0.040444636449792785,-0.7832214239571479
1641,Mated,-0.276838932218852,0.9797932238402048,-1.279494867245539,0.8914512235200758,0.2842786433573242,1.559514136511597,0.902667779957097,1.0885677558987101
1770,Mated,-0.615054916594132,0.9134497248153591,0.03341932324803842,0.5839458089650323,-0.2700133118723835,0.7148602794294182,1.1618247641738413,0.6509436536844972
1421,Single,2.620250121563624,-0.40758089558713084,0.27850801437078715,-1.766035403157754,0.5132435290793311,-0.08598906168930846,-0.2542126381242321,-0.9104439700683672
538,Grouped,-0.7034024160589163,-0.6371466782591132,-0.050578241203275025,0.8439637345167383,-0.6470163902674078,-0.5251216925938955,-0.7998768406732312,-0.0824671266644237
1190,Single,1.150831411627885,-0.43808831306362783,0.20121755176840792,-0.048593503574155573,1.2056026724816185,-0.08322469695585327,-0.12460259435174648,-0.840348444587787
1624,Mated,-1.5827692275875198,1.125296834796298,-1.783807150897448,2.1494192801229812,-0.6120984176370964,0.7627972313163734,0.2963009706025308,2.4677888311132916
211,Grouped,-1.0637709822420174,2.3463217054951633,-0.6830227253844157,-0.4182749609967251,-0.3231905047519128,-0.2494299965028699,2.525469054584445,1.1363747591992814
1409,Single,2.532506609114878,-0.36513997822720434,0.13305167218038325,-0.9748512796063614,0.5545097095434476,-0.10591624953627497,-0.037637387002092314,-0.8824078130273216
296,Grouped,-1.1660895226159387,-0.6668206988898676,0.359706966258618,1.535641445889341,-0.7676162952179998,-1.0113981312959643,-0.8436668202619669,0.2811414767198024
1700,Mated,2.02118367828032,-0.2556672859124644,2.4783879850191126,-1.8903333811142704,-0.32626901209891834,-0.4696714812009483,-0.10876165830911608,-0.6717120328132191
1935,Rejected,1.620921505125728,-0.6417369068937239,2.3088383963593877,-1.4394503042984388,-0.6800555162526365,-0.6575828228653656,-0.7307104648216154,-0.7825953446464767
1676,Mated,-1.2140146079209508,0.43320628482160606,-0.8612343427293098,1.5239053591230156,-0.6142524832841345,-0.06441458449036302,0.5321019154172123,1.1860056943713448
1327,Single,1.004611396742815,-0.16048094938214794,-0.6021809319668506,-2.0427321512604046,0.6394315665058785,0.16277484254751787,0.031047823512012625,-0.49773001246604115
1690,Mated,-1.3980139888687075,3.9083678678769616,-1.6118108729560134,1.735174692457761,-0.6181214147074264,2.1648072374723606,3.4129619328256946,3.0078158015540764
1670,Mated,-0.32233964497035433,0.11404594002334521,0.09386516129823268,0.42912820229020404,-0.3379941389652294,0.028210562373935384,0.04714026179263847,0.28617782328973834
125,Males_Grouped_and_Female,-1.3749086152535002,3.9335942052545128,-2.472177516906551,1.3354908811100843,-0.09536249213719505,4.667579329263647,2.882468786506668,2.5877475727791386
933,Grouped,-1.1384442726219508,0.05844271091431323,-0.6135096242077851,0.4309207595993986,-0.3220542761866546,0.6779566373170336,0.11982182609590607,0.8455551485618086
7,Males_Grouped_and_Female,0.9425227647537153,-0.7725884017111416,0.8132422483354745,-0.8070187025581078,-0.31206369859871386,-0.8366828656350095,-0.7507759367758026,-0.720148185487781
1053,Grouped,1.0074598536782267,-0.6901545830438585,0.5518034761067248,-0.6840750364813974,0.03864250336002039,-0.5474839538205287,-0.5832682743685299,-0.6251764224307328
1403,Single,0.4278665247011764,-0.19271137714801417,-0.5846712992093854,-0.5565382575078934,0.5065432793044695,0.11960560238788923,-0.15419392854637762,-0.6149807096335572
1355,Single,2.6118491234947814,0.010969103137613486,0.11157160894705476,-1.8399470611575284,1.7806100089026173,0.2950573192597171,0.44349988776351656,-0.8539458355768126
813,Grouped,2.5356425237646185,2.1858969709007887,-2.4132717218476603,-1.0362390931635315,8.03775321439485,2.7160921778627447,3.6815134672186995,-0.37247052638773975
1333,Single,1.4320493616462617,-0.3312616751226712,-0.3540852309781156,-1.0526703427454973,0.22959962194355524,0.08261149615094314,-0.29268137257725246,-0.6047849968363822
1147,Grouped,-1.0625605966382465,-0.39240307251099255,-0.2799514400816095,0.4670417587485339,-0.6961572624804775,-0.6259991166266136,-0.7519457395753883,0.6636722904223507
